Symbol,expiry_date,fetch_time,Spot Price,ATM Strike,CE OI,CE Chg in OI,CE Volume,CE IV,CE LTP,CE Bid Qty,CE Bid,CE Ask,CE Ask Qty,CE Delta,CE Theta,CE Gamma,CE Vega,Strike Price,PE Bid Qty,PE Bid,PE Ask,PE Ask Qty,PE LTP,PE IV,PE Volume,PE Chg in OI,PE OI,PE Delta,PE Theta,PE Gamma,PE Vega,timestamp
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,1800,1125,1950,0.00,1453.15,300,1305.70,1526.65,300,0.00,0.00,0.00,0.00,23450.00,0,0.00,0.05,1500,0.05,0.00,4077150,-119175,125775,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,12225,-27075,38250,0.00,1388.35,600,1388.00,1390.75,75,0.00,0.00,0.00,0.00,23500.00,0,0.00,0.05,34650,0.05,0.00,29132700,-3076725,1404300,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,750,-450,2325,0.00,1352.15,75,1241.45,1432.05,75,0.00,0.00,0.00,0.00,23550.00,0,0.00,0.05,59625,0.05,0.00,7330125,49125,231675,0.00,0.00,0.00,0.00,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,4425,-9750,17850,0.00,1287.60,75,1285.40,1288.95,75,0.00,0.00,0.00,0.00,23600.00,0,0.00,0.05,1725,0.05,75.21,11829525,-69675,611400,-0.00,-2.01,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,1200,0,2175,0.00,1217.40,150,1138.65,1325.70,150,0.00,0.00,0.00,0.00,23650.00,0,0.00,0.05,49725,0.05,72.43,6755025,106800,298050,-0.00,-2.00,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,3150,-3825,7125,0.00,1190.60,525,1188.25,1190.45,75,0.00,0.00,0.00,0.00,23700.00,0,0.00,0.05,47925,0.05,69.65,9767625,-572325,630600,-0.00,-1.99,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,1575,-225,2850,0.00,1100.10,150,1027.95,1225.80,150,0.00,0.00,0.00,0.00,23750.00,0,0.00,0.05,4650,0.05,66.87,8372250,8475,354375,-0.00,-1.98,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,17850,-8775,22575,0.00,1088.00,75,1085.65,1088.95,75,0.00,0.00,0.00,0.00,23800.00,0,0.00,0.05,9450,0.05,64.08,19748325,-1027350,1304700,-0.00,-1.97,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,825,0,0,0.00,1271.30,150,940.05,1114.65,150,0.00,0.00,0.00,0.00,23850.00,0,0.00,0.05,24000,0.05,61.29,10119375,-214425,300600,-0.00,-1.96,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,7875,-8100,22500,0.00,987.90,75,985.85,990.15,75,0.00,0.00,0.00,0.00,23900.00,0,0.00,0.05,38475,0.05,58.50,19074900,-492900,1294425,-0.00,-1.95,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,3375,0,8025,0.00,935.85,75,936.00,938.90,75,0.00,0.00,0.00,0.00,23950.00,0,0.00,0.05,56550,0.05,55.71,11830800,-172725,466050,-0.00,-1.93,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,61350,-56025,205425,0.00,888.35,75,886.00,889.15,75,0.00,0.00,0.00,0.00,24000.00,0,0.00,0.05,189375,0.05,52.91,66981750,-4219350,3992700,-0.00,-1.92,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,4875,-2325,12300,0.00,838.50,75,836.15,838.75,75,0.00,0.00,0.00,0.00,24050.00,0,0.00,0.05,33075,0.05,50.11,14454675,-489975,217725,-0.00,-1.91,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,17550,-13950,50100,0.00,788.00,75,786.20,788.00,75,0.00,0.00,0.00,0.00,24100.00,0,0.00,0.05,127725,0.05,47.30,26400300,-1175550,1031700,-0.00,-1.89,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,7500,-1575,17175,48.58,739.45,75,736.25,738.85,75,1.00,-11.20,0.00,0.03,24150.00,0,0.00,0.05,79425,0.05,44.49,21011775,-572475,580950,-0.00,-1.87,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,33000,-24600,68925,0.00,687.55,375,688.80,688.85,75,0.00,0.00,0.00,0.00,24200.00,0,0.00,0.05,372300,0.05,41.67,38358000,-1966500,2170425,-0.00,-1.86,0.00,0.01,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,12075,-375,21825,0.00,636.90,75,636.50,639.00,75,0.00,0.00,0.00,0.00,24250.00,0,0.00,0.05,18075,0.05,38.84,27783900,-608850,750450,-0.00,-1.84,0.00,0.02,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,42525,-18450,114300,0.00,587.80,75,586.55,589.00,75,0.00,0.00,0.00,0.00,24300.00,0,0.00,0.05,110325,0.05,36.01,64307400,-2220075,2526075,-0.00,-1.82,0.00,0.02,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,13425,-1950,42525,0.00,536.50,75,536.60,538.85,75,0.00,0.00,0.00,0.00,24350.00,0,0.00,0.05,92250,0.05,33.16,38579925,40800,1379400,-0.00,-1.80,0.00,0.02,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,53100,-17475,210600,0.00,486.85,525,486.85,488.20,300,0.00,0.00,0.00,0.00,24400.00,0,0.00,0.05,6525,0.05,30.30,117114225,-1865700,3577575,-0.00,-1.77,0.00,0.02,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,34275,-6450,89775,0.00,437.70,75,436.90,438.25,525,0.00,0.00,0.00,0.00,24450.00,0,0.00,0.05,225,0.05,27.42,67264800,-429600,1589550,-0.00,-1.75,0.00,0.02,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,331350,-80325,2562375,0.00,387.00,75,387.15,387.80,900,0.00,0.00,0.00,0.00,24500.00,0,0.00,0.05,124950,0.05,24.53,219082350,-2226225,7596825,-0.00,-1.72,0.00,0.02,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,178725,-3525,565050,0.00,338.00,225,337.05,338.15,150,0.00,0.00,0.00,0.00,24550.00,0,0.00,0.05,350025,0.05,21.61,110881275,545025,2584725,-0.00,-1.68,0.00,0.03,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,624225,-106500,3260625,0.00,288.05,975,287.60,288.05,375,0.00,0.00,0.00,0.00,24600.00,0,0.00,0.05,347400,0.05,18.67,218481000,-254925,5326875,-0.00,-1.64,0.00,0.03,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,423600,-50400,3468675,0.00,238.00,75,237.20,238.00,825,0.00,0.00,0.00,0.00,24650.00,0,0.00,0.05,72225,0.05,15.70,258694875,33525,2737425,-0.00,-1.60,0.00,0.03,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,1203900,-168375,19364250,0.00,187.50,1200,187.50,188.00,825,0.00,0.00,0.00,0.00,24700.00,0,0.00,0.05,273450,0.05,12.69,535257900,-943875,6723450,-0.00,-1.54,0.00,0.04,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,1075650,95775,29847450,0.00,138.15,75,137.80,138.15,2025,0.00,0.00,0.00,0.00,24750.00,0,0.00,0.05,128025,0.05,9.61,591420225,49125,4024200,-0.00,-1.46,0.00,0.05,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,3280875,1711950,186379800,0.00,88.00,27150,88.00,88.20,1800,0.00,0.00,0.00,0.00,24800.00,0,0.00,0.05,78900,0.05,6.45,1163800500,2844675,10501950,-0.00,-1.35,0.00,0.07,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,9429375,9090900,458549025,0.00,38.15,150,38.10,38.20,141900,0.00,0.00,0.00,0.00,24850.00,1125,0.05,0.10,336150,0.05,3.12,1292110575,10851450,13945200,-0.01,-1.14,0.00,0.13,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,23330175,21861525,1383897675,1.01,0.05,0,0.00,0.05,1036350,0.02,-1.09,0.01,0.31,24900.00,11550,11.85,12.00,102900,11.85,2.22,1582115550,6586875,13484025,-0.82,-3.85,0.02,1.42,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,11897775,11254500,908768100,4.56,0.05,0,0.00,0.05,1348275,0.01,-1.34,0.00,0.10,24950.00,5625,61.80,62.00,825,61.80,7.51,697249050,228000,3173850,-0.93,-8.84,0.00,0.68,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,14027925,10855725,956922000,7.77,0.05,0,0.00,0.05,650400,0.00,-1.46,0.00,0.06,25000.00,150,111.75,112.00,6525,111.75,11.98,1017817500,-4945725,4222875,-0.96,-10.60,0.00,0.48,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,5932125,4688550,850287000,10.86,0.05,0,0.00,0.05,74475,0.00,-1.54,0.00,0.05,25050.00,75,161.65,162.20,225,161.65,15.98,615335100,-261375,3098175,-0.97,-10.78,0.00,0.37,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,9984900,3685875,1104562800,13.86,0.05,0,0.00,0.05,159375,0.00,-1.60,0.00,0.04,25100.00,300,211.80,212.25,150,211.80,20.48,596939025,-3794700,5010975,-0.97,-13.99,0.00,0.34,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,6753450,1312725,727255200,16.80,0.05,0,0.00,0.05,195450,0.00,-1.64,0.00,0.03,25150.00,1425,262.20,262.25,600,262.20,25.68,258360675,-2286975,2223225,-0.97,-20.67,0.00,0.36,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,8159475,-2455650,789887775,19.68,0.05,0,0.00,0.05,219375,0.00,-1.68,0.00,0.03,25200.00,225,311.90,312.30,75,312.30,30.01,172689375,-3036675,2379075,-0.97,-23.17,0.00,0.33,21:12:00
NIFTY,12 JUN,2025-06-12 21:12:08,24888.20,24900,4371750,-780150,429260700,22.53,0.05,0,0.00,0.05,37875,0.00,-1.72,0.00,0.03,25250.00,825,361.75,362.70,225,361.75,31.95,36988650,-309450,519450,-0.98,-15.70,0.00,0.24,21:12:00
